Column1;Column2
Texto;Sentimiento
@jmartineze_ Haber como apoyaron a mayra goñi... También que saquen este tipo de acciones que dejan mucho que desear en que cerebro podrido cabe escribir de esa manera??????????;POSITIVO
"@diarioojo CANTANTE  MAYRA GOÑI
YO TUVE UN PROBLEMA DE SALUD OCULAR,FUI A NATURAL VITAL,DONDE PRACTICAN LA MEDICINA NATURAL CIENTÍFICA Y ME SANE EN POCO TIEMPO.
QUE TUS ALIMENTOS SEAN TUS MEDICAMENTOS
 Y VICIVERSA.";NEUTRAL
No solo de ahí salieron los q bajaron la cuenta de Josi sino tmb hay publicaciones burlándose del acoso que sufrió Mayra Goñi y otras cosas que dan asco la verdad;NEUTRAL
Sé que dije que iba a estár inactiva en tw pero lo que le pasó a Mayra Goñi en su live se llama acoso y nada más. Que inhumano lo que sufren las mujeres en el mundo, ni en las redes sociales estás segurx ptm;NEUTRAL
@Motta01Alonso @munchii_tx Alonso mejor hablemos de la sacada de pate a mayra goñi;NEGATIVO
@diarioojo Lamentable de Mayra Goñi,,, si haces directo hazlo en privado con la gente que te conoce... El hecho que sea público te expones a esos eventos..;NEUTRAL
@cristobal2colon @peachmuffin17 @fredguevara @jmartineze_ @MininterPeru @PoliciaPeru @instagram @MimpPeru Pero no te diste cuenta lo rápido que actuaron las autoridades cuando en pleno insta live le mostraron el pene a la actriz Mayra Goñi. Sólo espero que puedan atender a todos de la misma manera.;POSITIVO
"Hay gente tan mierda en este país, por que siempre se normalizó ser un machito de mierda. Donde es gracioso que Mayra Goñi sea acosada en un live y que EXISTAN GRUPOS que quieren hacerle daño a Josi, un niño de 15 años solo por ser quien es. 
¿HARÁN ALGO MÁS QUE INDIGNARSE EN TW?";NEGATIVO
lo único que se ha visto estos días tanto en lo de josi, como mayra goñi y george floyd es el increible odio que existe en la humanidad, que miedo vivir en una sociedad así;NEUTRAL
"Hace poco lo sufrió Mayra Goñi, así sea un personaje público o no, también es un ser humano que pide parar con este tipo de actuar que sólo lo puede hacer un depravado.

BASTA YA DE ÉL ACOSO Y LA VIOLENCIA A NUESTRAS MUJERES, NOSOTROS COMO HOMBRES DEBEMOS AYUDAR LAS EN SU LUCHA.";POSITIVO
La Mayra goñi ya parece janet jackson con tanta cirujia que se hace en la cara.;NEGATIVO
No soy fan de Mayra Goñi, pero ahora resulta que tienes que ser “cucufata” para poder reclamar un acoso sexual, ¿o no es eso lo que todos los enfermos están diciendo?;NEGATIVO
Los que hacen chistes de lo que le ocurrió a Mayra Goñi, nada bien...absolutamente nada bien en casa, verdad?;POSITIVO
"Acabo de leer un comentario donde un huevon minimiza lo que sucedió con Mayra Goñi por el simple hecho de que ha tenido varías relaciones públicas, según el su caso no es importante. 
Qué imbecil.";NEGATIVO
@PieroFa09001655 @mayra_goni y esa foto la posteo con el chibolo jeropa;NEGATIVO
"En verdad veo los mensajes que le llegan a salandela, lo que le paso a mayra Goñi, el ataque que tiene Josi y el ataque a los influencers  que llegan a meterse hasta en su vida privada, y digo ""hay gente dms mie*rda y sin nada que hacer en esta vida para ser asi.";NEGATIVO
Hace unos días hice una publicación en Facebook refiriéndome a lo que le pasó a Mayra Goñi luego de haber visto un montón, y cuando digo un montón es UN MONTÓN de comentarios minimizando el tema, burlándose, diciendo que no es acoso y que solo le dan pantalla porque es famosa;NEUTRAL
me restringieron la cuenta de FB por quejarme de lo de Mayra Goñi, pero cuando denuncio cosas que realmente infringen sus normas ni mrd hacen;NEGATIVO
@MissFio_ Lamentablemente están ocupados viendo el caso del tipo que le enseñó el nepe a una inocente y virginal mayra goñi...;NEUTRAL
@HaruBaek El acoso sexual que pasó Mayra Goñi¿ de hace dos días o ayer (ando perdida con el tiempo), justo hablaron eso en las noticias y él se rió;NEUTRAL
Me causa mucha gracia lo que hace Mayra Goñi, ella dice que fue acoso pero ¿Donde la tocó? ¿Hasta donde la siguió? Ella es una mujer adulta y todo pasó en su propio directo de Instagram através de una pantalla. Los medios peruanos le siguen la corriente ¿No es eso amarillismo?;NEGATIVO
@YoQarlos @babybartra @Mrhuacatay ayyy carlitos mayra goñi poes que estuvo con nesty el cubano y junto estuvieron bailando en el gran show de gisela valcarcel;NEUTRAL
#NoMeCalloSi para ti es divertido el vídeo de Mayra Goñi;NEGATIVO
Definitivamente el caso de Mayra Goñi demuestra que en Perú para que te escuchen tienes que ser alguien conocido porque sino pasas a ser un caso más de la estadística;NEUTRAL
@RPPNoticias Quien es Mayra Goñi? La que encontró la cura del Covid? No sean p.....;NEGATIVO
"Pongo un tuit contando lo enojada que estoy, ya que un imbécil se burló de mi publicación sobre el acoso a Mayra Goñi, y lo primero que pasa es que una sarta de idiotas comentan ""uy, qué boquita"", ""diablos, señorita"", emojis sonrientes y mil cojudeces más.";NEGATIVO
